Name,PV_File,WIND_File
SPILDEVANDSCENTER_AVEDØRE,PV_SPILDEVANDSCENTER_AVEDØRE_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_SPILDEVANDSCENTER_AVEDØRE_20150101-20241231_merra2_a6d7f2589a.csv
EJBY_MØLLE_RENSEANLÆG,PV_EJBY_MØLLE_RENSEANLÆG_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_EJBY_MØLLE_RENSEANLÆG_20150101-20241231_merra2_a6d7f2589a.csv
FREDERICIA_CENTRALRENS,PV_FREDERICIA_CENTRALRENS_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_FREDERICIA_CENTRALRENS_20150101-20241231_merra2_a6d7f2589a.csv
Kohtla-Järve_regionaalne_reoveepuhasti,PV_Kohtla-Järve_regionaalne_reoveepuhasti_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_Kohtla-Järve_regionaalne_reoveepuhasti_20150101-20241231_merra2_a6d7f2589a.csv
Tallinna_reoveepuhastusjaam,PV_Tallinna_reoveepuhastusjaam_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_Tallinna_reoveepuhastusjaam_20150101-20241231_merra2_a6d7f2589a.csv
THESSALONIKI,PV_THESSALONIKI_20150101-20241231_merra2_b45483d2b5.csv,Wind_THESSALONIKI_20150101-20241231_merra2_a6d7f2589a.csv
PSYTTALIA,PV_PSYTTALIA_20150101-20241231_merra2_4704d624de.csv,Wind_PSYTTALIA_20150101-20241231_merra2_a6d7f2589a.csv
METAMORPHOSI,PV_METAMORPHOSI_20150101-20241231_merra2_ace8fefad0.csv,Wind_METAMORPHOSI_20150101-20241231_merra2_a6d7f2589a.csv
MONTE_ORGEGIA,PV_MONTE_ORGEGIA_20150101-20241231_merra2_d84a23d990.csv,Wind_MONTE_ORGEGIA_20150101-20241231_merra2_a6d7f2589a.csv
RINCON_DE_LEON,PV_RINCON_DE_LEON_20150101-20241231_merra2_e524009726.csv,Wind_RINCON_DE_LEON_20150101-20241231_merra2_a6d7f2589a.csv
ELX_-_ALGOROS,PV_ELX_-_ALGOROS_20150101-20241231_merra2_14dc923e90.csv,Wind_ELX_-_ALGOROS_20150101-20241231_merra2_a6d7f2589a.csv
EL_BOBAR,PV_EL_BOBAR_20150101-20241231_merra2_6f2c0c9d85.csv,Wind_EL_BOBAR_20150101-20241231_merra2_a6d7f2589a.csv
QUART_-_BENAGER,PV_QUART_-_BENAGER_20150101-20241231_merra2_1638ed9587.csv,Wind_QUART_-_BENAGER_20150101-20241231_merra2_a6d7f2589a.csv
PINEDO_1,PV_PINEDO_1_20150101-20241231_merra2_75de5946c6.csv,Wind_PINEDO_1_20150101-20241231_merra2_a6d7f2589a.csv
PINEDO_2,PV_PINEDO_2_20150101-20241231_merra2_75de5946c6.csv,Wind_PINEDO_2_20150101-20241231_merra2_a6d7f2589a.csv
GUADALETE,PV_GUADALETE_20150101-20241231_merra2_8f4abb1405.csv,Wind_GUADALETE_20150101-20241231_merra2_a6d7f2589a.csv
LA_GOLONDRINA,PV_LA_GOLONDRINA_20150101-20241231_merra2_7c200b6f8d.csv,Wind_LA_GOLONDRINA_20150101-20241231_merra2_a6d7f2589a.csv
GRANADA_SUR,PV_GRANADA_SUR_20150101-20241231_merra2_e3f4f3c7e0.csv,Wind_GRANADA_SUR_20150101-20241231_merra2_a6d7f2589a.csv
HUELVA,PV_HUELVA_20150101-20241231_merra2_e3f4f3c7e0.csv,Wind_HUELVA_20150101-20241231_merra2_a6d7f2589a.csv
BENS_A_CORUÑA,PV_BENS_A_CORUÑA_20150101-20241231_merra2_164424b95e.csv,Wind_BENS_A_CORUÑA_20150101-20241231_merra2_a6d7f2589a.csv
FUENGIROLA,PV_FUENGIROLA_20150101-20241231_merra2_1a652f8e58.csv,Wind_FUENGIROLA_20150101-20241231_merra2_a6d7f2589a.csv
GUADALHORCE,PV_GUADALHORCE_20150101-20241231_merra2_b99774a27d.csv,Wind_GUADALHORCE_20150101-20241231_merra2_a6d7f2589a.csv
SUR,PV_SUR_20150101-20241231_merra2_d7cf0631f1.csv,Wind_SUR_20150101-20241231_merra2_a6d7f2589a.csv
LA_CHINA,PV_LA_CHINA_20150101-20241231_merra2_d7cf0631f1.csv,Wind_LA_CHINA_20150101-20241231_merra2_a6d7f2589a.csv
BUTARQUE,PV_BUTARQUE_20150101-20241231_merra2_d7cf0631f1.csv,Wind_BUTARQUE_20150101-20241231_merra2_a6d7f2589a.csv
VIVEROS_DE_LA_VILLA,PV_VIVEROS_DE_LA_VILLA_20150101-20241231_merra2_8c2730ad5a.csv,Wind_VIVEROS_DE_LA_VILLA_20150101-20241231_merra2_a6d7f2589a.csv
REJAS,PV_REJAS_20150101-20241231_merra2_8c2730ad5a.csv,Wind_REJAS_20150101-20241231_merra2_a6d7f2589a.csv
